race,t_pre,t_2026,delta,had_sc,n_sc_laps
378,5021.85245306389,5021.85245306389,0.0,False,0
379,5021.85245306389,5021.85245306389,0.0,False,0
380,5021.85245306389,5021.85245306389,0.0,False,0
381,5986.643269232726,5983.4432692327255,3.2000000000007276,True,19
382,5682.607842559574,5681.007842559575,1.5999999999994543,True,13
383,5021.85245306389,5021.85245306389,0.0,False,0
384,5347.719027060017,5347.719027060017,0.0,True,6
385,5021.85245306389,5021.85245306389,0.0,False,0
386,5021.85245306389,5021.85245306389,0.0,False,0
387,5021.85245306389,5021.85245306389,0.0,False,0
388,5074.816157955129,5074.416157955129,0.3999999999996362,True,1
389,5211.765809907092,5210.165809907092,1.6000000000003638,True,4
390,5021.85245306389,5021.85245306389,0.0,False,0
391,5021.85245306389,5021.85245306389,0.0,False,0
392,5021.85245306389,5021.85245306389,0.0,False,0
393,5130.1263094850965,5129.326309485096,0.8000000000001819,True,2
394,5550.638503577693,5549.038503577692,1.6000000000012733,True,10
395,5021.85245306389,5021.85245306389,0.0,False,0
396,5386.27298305303,5383.4729830530305,2.7999999999992724,True,7
397,5021.85245306389,5021.85245306389,0.0,False,0
398,5075.920735378294,5075.520735378294,0.3999999999996362,True,1
399,5127.515490121251,5126.715490121251,0.8000000000001819,True,2
400,5127.515490121251,5126.715490121251,0.8000000000001819,True,2
401,5021.85245306389,5021.85245306389,0.0,False,0
402,5073.410332143828,5073.010332143827,0.4000000000005457,True,1
403,5161.332972128354,5160.132972128354,1.2000000000007276,True,3
404,5021.85245306389,5021.85245306389,0.0,False,0
405,5021.85245306389,5021.85245306389,0.0,False,0
406,5438.159655890542,5436.559655890542,1.6000000000003638,True,8
407,5021.85245306389,5021.85245306389,0.0,False,0
408,5021.85245306389,5021.85245306389,0.0,False,0
409,5232.321868536905,5230.7218685369035,1.6000000000012733,True,4
410,5327.403207847021,5326.203207847021,1.199999999999818,True,6
411,5021.85245306389,5021.85245306389,0.0,False,0
412,5841.193276906655,5838.793276906656,2.399999999999636,True,16
413,5231.719371760632,5230.119371760634,1.5999999999985448,True,4
414,5291.257211584184,5290.857211584184,0.3999999999996362,True,5
415,5021.85245306389,5021.85245306389,0.0,False,0
416,5021.85245306389,5021.85245306389,0.0,False,0
417,5165.794983786169,5164.594983786169,1.199999999999818,True,3
418,5467.998165254462,5464.798165254462,3.199999999999818,True,9
419,5021.85245306389,5021.85245306389,0.0,False,0
420,5021.85245306389,5021.85245306389,0.0,False,0
421,5021.85245306389,5021.85245306389,0.0,False,0
422,5211.4962619389735,5209.896261938973,1.6000000000003638,True,4
423,5021.85245306389,5021.85245306389,0.0,False,0
424,5181.958772149831,5180.758772149832,1.1999999999989086,True,3
425,5021.85245306389,5021.85245306389,0.0,False,0
426,5021.85245306389,5021.85245306389,0.0,False,0
427,5124.703838498649,5123.903838498649,0.8000000000001819,True,2
428,5218.667644801254,5217.067644801254,1.6000000000003638,True,4
429,5021.85245306389,5021.85245306389,0.0,False,0
430,5021.85245306389,5021.85245306389,0.0,False,0
431,5170.148914406016,5168.948914406016,1.199999999999818,True,3
432,5021.85245306389,5021.85245306389,0.0,False,0
433,5021.85245306389,5021.85245306389,0.0,False,0
434,5021.85245306389,5021.85245306389,0.0,False,0
435,5732.697160758527,5728.697160758527,4.0,True,14
436,5021.85245306389,5021.85245306389,0.0,False,0
437,5263.420351818485,5261.420351818485,2.0,True,5
438,5177.841710845306,5176.641710845305,1.2000000000007276,True,3
439,5111.073724674575,5110.273724674575,0.8000000000001819,True,2
440,5112.9923343379305,5112.19233433793,0.8000000000001819,True,2
441,5021.85245306389,5021.85245306389,0.0,False,0
442,5160.870137004327,5159.670137004327,1.199999999999818,True,3
443,5021.85245306389,5021.85245306389,0.0,False,0
444,5021.85245306389,5021.85245306389,0.0,False,0
445,5021.85245306389,5021.85245306389,0.0,False,0
446,5392.669863320323,5389.869863320323,2.800000000000182,True,7
447,5059.838068253502,5059.438068253501,0.4000000000005457,True,1
448,5376.809090380913,5374.009090380914,2.7999999999992724,True,7
449,5125.3063352749205,5124.50633527492,0.8000000000001819,True,2
450,5217.854239415441,5216.254239415441,1.6000000000003638,True,4
451,5074.0128289201,5073.6128289201,0.4000000000005457,True,1
452,5112.2990429464535,5111.499042946454,0.7999999999992724,True,2
453,5021.85245306389,5021.85245306389,0.0,False,0
454,5021.85245306389,5021.85245306389,0.0,False,0
455,5021.85245306389,5021.85245306389,0.0,False,0
456,5224.690242704126,5223.0902427041265,1.5999999999994543,True,4
457,5238.949333075896,5238.549333075895,0.4000000000005457,True,4
458,5162.437549551519,5161.23754955152,1.1999999999989086,True,3
459,5021.85245306389,5021.85245306389,0.0,False,0
460,5021.85245306389,5021.85245306389,0.0,False,0
461,5336.271588310849,5333.871588310849,2.4000000000005457,True,6
462,5554.6551487528395,5553.05514875284,1.5999999999994543,True,10
463,5021.85245306389,5021.85245306389,0.0,False,0
464,5320.845957484767,5318.445957484765,2.400000000001455,True,6
465,5230.514378208089,5228.914378208088,1.6000000000003638,True,4
466,5074.916574084508,5074.516574084508,0.4000000000005457,True,1
467,5021.85245306389,5021.85245306389,0.0,False,0
468,5234.93268790075,5233.332687900751,1.5999999999994543,True,4
469,5164.777000722684,5163.577000722683,1.2000000000007276,True,3
470,5162.162823891942,5160.962823891942,1.199999999999818,True,3
471,5021.85245306389,5021.85245306389,0.0,False,0
472,5331.451614100673,5329.851614100673,1.6000000000003638,True,6
473,5316.064266815067,5314.464266815066,1.6000000000003638,True,6
474,5021.85245306389,5021.85245306389,0.0,False,0
475,5021.85245306389,5021.85245306389,0.0,False,0
476,5237.744339523352,5236.144339523353,1.5999999999994543,True,4
477,5021.85245306389,5021.85245306389,0.0,False,0
478,5021.85245306389,5021.85245306389,0.0,False,0
479,5071.201177297497,5070.801177297497,0.4000000000005457,True,1
480,5021.85245306389,5021.85245306389,0.0,False,0
481,5021.85245306389,5021.85245306389,0.0,False,0
482,5021.85245306389,5021.85245306389,0.0,False,0
483,5518.081281440284,5514.881281440284,3.2000000000007276,True,10
484,5021.85245306389,5021.85245306389,0.0,False,0
485,5021.85245306389,5021.85245306389,0.0,False,0
486,5021.85245306389,5021.85245306389,0.0,False,0
