race,t_adaptive,t_fixed
564,5021.85245306389,5021.85245306389
565,5338.79031413289,5340.790314132889
566,5021.85245306389,5021.85245306389
567,5231.123533054419,5232.723533054419
568,5075.219486990158,5075.619486990158
569,5021.85245306389,5021.85245306389
570,5021.85245306389,5021.85245306389
571,5074.516574084508,5074.916574084508
572,5334.069091534577,5335.669091534577
573,5021.85245306389,5021.85245306389
574,5021.85245306389,5021.85245306389
575,5678.0417894865195,5679.64178948652
576,5021.85245306389,5021.85245306389
577,5021.85245306389,5021.85245306389
578,5073.6128289201,5074.0128289201
579,5183.669175384298,5184.469175384297
580,5554.263471340413,5556.663471340413
581,5075.821983766429,5076.22198376643
582,5070.801177297497,5071.113341887646
583,5395.287340754226,5396.887340754227
584,5021.85245306389,5021.85245306389
585,5021.85245306389,5021.85245306389
586,5168.346417629744,5169.587124358221
587,5021.85245306389,5021.85245306389
588,5288.954298678534,5290.554298678533
589,5021.85245306389,5021.85245306389
590,5118.4486886853465,5120.960729095362
591,5212.841630942905,5228.676213141559
592,5341.901549626112,5343.501549626112
593,5876.2925303834845,5878.292530383485
594,5021.85245306389,5021.85245306389
595,5074.918238602023,5075.318238602023
596,5363.698749938329,5373.371837648124
597,5159.328595280388,5160.528595280388
598,5484.417255513391,5501.4788028273115
599,5073.311580531964,5073.711580531964
600,5021.85245306389,5021.85245306389
601,5074.616990213886,5075.016990213887
602,5021.85245306389,5021.85245306389
603,5021.85245306389,5021.85245306389
604,5125.711328827465,5126.511328827464
605,5021.85245306389,5021.85245306389
606,5311.2733052176545,5326.817758542089
607,5520.866267404499,5522.466267404499
608,5435.411255933496,5436.211255933496
609,5021.85245306389,5021.85245306389
610,5463.9361574393015,5476.373197491743
611,5021.85245306389,5021.85245306389
612,5021.85245306389,5021.85245306389
613,5021.85245306389,5021.85245306389
614,5021.85245306389,5021.85245306389
615,5021.85245306389,5021.85245306389
616,5125.912161086221,5126.712161086221
617,5344.910704472443,5345.710704472444
618,5021.85245306389,5021.85245306389
619,5021.85245306389,5021.85245306389
620,5021.85245306389,5021.85245306389
621,5108.6873913238505,5123.169883941693
622,5021.85245306389,5021.85245306389
623,5066.610845484877,5071.515006405161
624,5332.2616012057615,5333.861601205761
625,5618.596811268764,5620.196811268764
626,5108.776630649507,5109.576630649507
627,5021.85245306389,5021.85245306389
628,5271.09935411557,5285.900650923943
629,5277.9085244468815,5279.50852444688
630,5126.313825603736,5127.113825603736
631,5021.85245306389,5021.85245306389
632,5021.85245306389,5021.85245306389
633,5498.253320953746,5499.8533209537445
634,5021.85245306389,5021.85245306389
635,5021.85245306389,5021.85245306389
636,5021.85245306389,5021.85245306389
637,5312.078035720033,5313.678035720032
638,5126.916322380008,5127.716322380008
639,5021.85245306389,5021.85245306389
640,5021.85245306389,5021.85245306389
641,5626.379925203447,5643.3705148141735
642,5021.85245306389,5021.85245306389
643,5021.85245306389,5021.85245306389
644,5230.119371760633,5231.719371760632
645,5021.85245306389,5021.85245306389
646,5021.85245306389,5021.85245306389
647,5119.28469654723,5119.956567801575
648,5111.304943668703,5122.1657226479065
649,5074.616990213886,5075.016990213887
650,5870.57626891988,5872.17626891988
651,5929.064674784487,5930.664674784487
652,5021.85245306389,5021.85245306389
653,5021.85245306389,5021.85245306389
654,5210.700935151547,5212.3009351515475
655,5021.85245306389,5021.85245306389
656,5293.566782559893,5293.566782559893
657,5159.175362385482,5173.804601792125
658,5314.464266815066,5321.997784331913
659,5021.85245306389,5021.85245306389
660,5286.1443115734455,5288.144311573445
661,5363.509173889401,5365.509173889401
662,5021.85245306389,5021.85245306389
663,5021.85245306389,5021.85245306389
664,5021.85245306389,5021.85245306389
665,5021.85245306389,5021.85245306389
666,5217.89605528852,5220.707924463234
667,5119.887193323502,5120.5590645778475
668,5021.85245306389,5021.85245306389
669,5565.62013474182,5581.62013474182
670,5160.962823891942,5172.599608239581
671,5125.912161086221,5126.712161086221
672,5289.95845997232,5291.55845997232
673,5217.870973836284,5219.603347040069
674,5021.85245306389,5021.85245306389
675,5021.85245306389,5021.85245306389
676,5075.319903119537,5075.719903119537
677,5281.3243373632695,5283.3243373632695
678,5413.8699762356055,5415.469976235605
679,5179.051697950393,5180.2516979503935
680,5342.504046402385,5344.1040464023845
681,5769.1042962505635,5770.704296250564
682,5269.377879784233,5273.318968116614
683,5021.85245306389,5021.85245306389
684,5021.85245306389,5021.85245306389
685,5062.80903769949,5071.816254793297
686,5021.85245306389,5021.85245306389
687,5212.960297361124,5222.0133341451565
688,5159.108346956533,5174.708346956533
689,5021.85245306389,5021.85245306389
690,5266.966228161631,5270.507316494011
691,5504.5795371046,5506.179537104601
692,5130.728806261368,5130.728806261368
693,5232.931023383236,5234.531023383234
694,5129.326309485096,5130.1263094850965
695,5021.85245306389,5021.85245306389
696,5021.85245306389,5021.85245306389
697,5181.762933443617,5182.962933443617
698,5073.311580531964,5073.711580531964
699,5021.85245306389,5021.85245306389
700,5021.85245306389,5021.85245306389
701,5343.709039954929,5345.309039954928
702,5452.222907556099,5453.422907556098
703,5021.85245306389,5021.85245306389
704,5260.4013325483365,5276.030203609838
705,5114.33099587664,5121.563225871634
706,5021.85245306389,5021.85245306389
707,5021.85245306389,5021.85245306389
708,5281.123505104513,5283.123505104513
709,5125.510496568708,5126.310496568707
